"TimeGenerated [UTC]","ContainerImage_s","ContainerName_s","RevisionName_s","Log_s"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      totalRequestPayloadLengthInBytes: 0,"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      totalResponsePayloadLengthInBytes: 0,"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      locationEndpointsContacted: [],"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      metadataDiagnostics: [Object],"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      retryDiagnostics: [Object],"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      gatewayStatistics: [],"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      encryptionDiagnostics: undefined"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    },"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    diagnosticNode: undefined,"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    clientConfig: undefined"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","  }"
"10/19/2025, 12:02:02.626 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","}"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","Error fetching counter: Error: invalid input: input is not string"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at trimSlashFromLeftAndRight (/app/node_modules/@azure/cosmos/dist/commonjs/common/helper.js:260:15)"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at createDocumentUri (/app/node_modules/@azure/cosmos/dist/commonjs/common/uriFactory.js:76:60)"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at get url [as url] (/app/node_modules/@azure/cosmos/dist/commonjs/client/Item/Item.js:26:49)"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at /app/node_modules/@azure/cosmos/dist/commonjs/client/Item/Item.js:77:28"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at async withDiagnostics (/app/node_modules/@azure/cosmos/dist/commonjs/utils/diagnostics.js:106:26) {"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","  diagnostics: CosmosDiagnostics {"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    clientSideRequestStatistics: {"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      requestStartTimeUTCInMs: 1760832121105,"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      requestDurationInMs: 0,"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      totalRequestPayloadLengthInBytes: 0,"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      totalResponsePayloadLengthInBytes: 0,"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      locationEndpointsContacted: [],"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      metadataDiagnostics: [Object],"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      retryDiagnostics: [Object],"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      gatewayStatistics: [],"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      encryptionDiagnostics: undefined"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    },"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    diagnosticNode: undefined,"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    clientConfig: undefined"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","  }"
"10/19/2025, 12:02:02.017 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","}"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","Error fetching counter: Error: invalid input: input is not string"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at trimSlashFromLeftAndRight (/app/node_modules/@azure/cosmos/dist/commonjs/common/helper.js:260:15)"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at createDocumentUri (/app/node_modules/@azure/cosmos/dist/commonjs/common/uriFactory.js:76:60)"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at get url [as url] (/app/node_modules/@azure/cosmos/dist/commonjs/client/Item/Item.js:26:49)"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at /app/node_modules/@azure/cosmos/dist/commonjs/client/Item/Item.js:77:28"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at async withDiagnostics (/app/node_modules/@azure/cosmos/dist/commonjs/utils/diagnostics.js:106:26) {"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","  diagnostics: CosmosDiagnostics {"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    clientSideRequestStatistics: {"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      requestStartTimeUTCInMs: 1760832123088,"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      requestDurationInMs: 0,"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      totalRequestPayloadLengthInBytes: 0,"
"10/19/2025, 12:02:03.596 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      totalResponsePayloadLengthInBytes: 0,"
